Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
40;5/25/1977;Comedy,Drama;Patrick Read Johnson;John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn;2007;113;7.1;241;0;71
55;The Dark Knight;Action,Crime,Drama;Christopher Nolan;Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine;2008;152;9;1791916;533.32;82
65;The Prestige;Drama,Mystery,Sci-Fi;Christopher Nolan;Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine;2006;130;8.5;913152;53.08;66
76;Pirates of the Caribbean: At World's End;Action,Adventure,Fantasy;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush;2007;169;7.1;498821;309.4;50
78;Inglourious Basterds;Adventure,Drama,War;Quentin Tarantino;Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent;2009;153;8.3;959065;120.52;69
79;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure,Fantasy;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport;2006;151;7.3;552027;423.03;53
88;Avatar;Action,Adventure,Fantasy;James Cameron;Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez;2009;162;7.8;935408;760.51;83
100;The Departed;Crime,Drama,Thriller;Martin Scorsese;Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg;2006;151;8.5;937414;132.37;85
114;300;Action,Fantasy,War;Zack Snyder;Gerard Butler, Lena Headey, David Wenham, Dominic West;2006;117;7.7;637104;210.59;52
129;Mamma Mia!;Comedy,Family,Musical;Phyllida Lloyd;Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård;2008;108;6.4;153481;143.7;51
137;No Country for Old Men;Crime,Drama,Thriller;Ethan Coen;Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson;2007;122;8.1;660286;74.27;91
141;Star Trek;Action,Adventure,Sci-Fi;J.J. Abrams;Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy;2009;127;8;526324;257.7;82
